Instrument in Sequence,1 - E3631A - ASRL3::INSTR,,,,,,,,
Instrument in Sequence,3 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,
Start Time,"57:54,8",,,,,,,,
Stop Time,"01:14,3",,,,,,,,
Time,Step,1 - Set CH2 On/Off,1 - Set CH1 On/Off,1 - Sweep CH1 Voltage Setting (V),1 - Set CH1 Current Limit,1 - Get CH1 Voltage Measurement,1 - Get CH1 Current Measurement,3 - Get Measurement Type,1 - Set CH1 On/Off ()
"2022-11-29 15:58:00,063",1,1.00,,,,,,,
"2022-11-29 15:58:01,457",2,,1.00,,,,,,
"2022-11-29 15:58:06,161",3,,,0.00,0.10,-0.00209481,-0.001634188,DC Voltage,
"2022-11-29 15:58:10,827",4,,,0.05,0.10,0.047934290,-0.001579373,DC Voltage,
"2022-11-29 15:58:15,491",5,,,0.10,0.10,0.097612550,-0.001558817,DC Voltage,
"2022-11-29 15:58:20,148",6,,,0.15,0.10,0.147668600,-0.001555391,DC Voltage,
"2022-11-29 15:58:24,820",7,,,0.20,0.10,0.197825900,-0.001617058,DC Voltage,
"2022-11-29 15:58:29,482",8,,,0.25,0.10,0.247794300,-0.001637614,DC Voltage,
"2022-11-29 15:58:34,142",9,,,0.30,0.10,0.297894200,-0.001555391,DC Voltage,
"2022-11-29 15:58:38,798",10,,,0.35,0.10,0.347933400,-0.001545113,DC Voltage,
"2022-11-29 15:58:43,461",11,,,0.40,0.10,0.397888300,-0.001651318,DC Voltage,
"2022-11-29 15:58:48,114",12,,,0.45,0.10,0.447964600,-0.001504002,DC Voltage,
"2022-11-29 15:58:52,781",13,,,0.50,0.10,0.497939700,-0.001493724,DC Voltage,
"2022-11-29 15:58:57,465",14,,,0.55,0.10,0.547995800,-0.001548539,DC Voltage,
"2022-11-29 15:59:02,143",15,,,0.60,0.10,0.598132800,-0.001397796,DC Voltage,
"2022-11-29 15:59:06,819",16,,,0.65,0.10,0.647851600,-0.001452612,DC Voltage,
"2022-11-29 15:59:11,473",17,,,0.70,0.10,0.698083100,-0.001373814,DC Voltage,
"2022-11-29 15:59:16,144",18,,,0.75,0.10,0.748007600,-0.001318999,DC Voltage,
"2022-11-29 15:59:20,816",19,,,0.80,0.10,0.798131200,-0.001281313,DC Voltage,
"2022-11-29 15:59:25,473",20,,,0.85,0.10,0.848133300,-0.001260757,DC Voltage,
"2022-11-29 15:59:30,165",21,,,0.90,0.10,0.897909400,-0.001185386,DC Voltage,
"2022-11-29 15:59:34,830",22,,,0.95,0.10,0.947823800,-0.001116867,DC Voltage,
"2022-11-29 15:59:39,487",23,,,1.00,0.10,0.997933800,-0.001048347,DC Voltage,
"2022-11-29 15:59:44,143",24,,,1.05,0.10,1.047895000,-0.001092885,DC Voltage,
"2022-11-29 15:59:48,823",25,,,1.10,0.10,1.097931000,-0.001044921,DC Voltage,
"2022-11-29 15:59:53,526",26,,,1.15,0.10,1.147637000,-0.000993532,DC Voltage,
"2022-11-29 15:59:58,180",27,,,1.20,0.10,1.197669000,-0.000883901,DC Voltage,
"2022-11-29 16:00:02,843",28,,,1.25,0.10,1.247755000,-0.000808529,DC Voltage,
"2022-11-29 16:00:07,499",29,,,1.30,0.10,1.297734000,-0.000805103,DC Voltage,
"2022-11-29 16:00:12,147",30,,,1.35,0.10,1.347793000,-0.000870197,DC Voltage,
"2022-11-29 16:00:16,814",31,,,1.40,0.10,1.397772000,-0.000763992,DC Voltage,
"2022-11-29 16:00:21,509",32,,,1.45,0.10,1.447825000,-0.000630379,DC Voltage,
"2022-11-29 16:00:26,178",33,,,1.50,0.10,1.497840000,-0.000565285,DC Voltage,
"2022-11-29 16:00:30,860",34,,,1.55,0.10,1.547869000,-0.000565285,DC Voltage,
"2022-11-29 16:00:35,533",35,,,1.60,0.10,1.597821000,-0.000500192,DC Voltage,
"2022-11-29 16:00:40,208",36,,,1.65,0.10,1.647907000,-0.000510470,DC Voltage,
"2022-11-29 16:00:44,887",37,,,1.70,0.10,1.697774000,-0.000452228,DC Voltage,
"2022-11-29 16:00:49,539",38,,,1.75,0.10,1.747783000,-0.000438524,DC Voltage,
"2022-11-29 16:00:54,199",39,,,1.80,0.10,1.797863000,-0.000349449,DC Voltage,
"2022-11-29 16:00:58,874",40,,,1.85,0.10,1.847892000,-0.000311763,DC Voltage,
"2022-11-29 16:01:03,565",41,,,1.90,0.10,1.897952000,-0.000349449,DC Voltage,
"2022-11-29 16:01:08,232",42,,,1.95,0.10,1.947960000,-0.000270652,DC Voltage,
"2022-11-29 16:01:12,876",43,,,2.00,0.10,1.997875000,-0.000222688,DC Voltage,
"2022-11-29 16:01:14,275",44,,,2.05,,,,,0
