Instrument in Sequence,1 - E3631A - ASRL3::INSTR,Time,Step,1 - Set CH2 On/Off,1 - Sweep CH2 Voltage Setting (V),1 - Get CH2 Voltage Setting,1 - Get CH2 Current Measurement,2 - Get Measurement Value Iled
Instrument in Sequence,2 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,"2022-12-02 16:37:07,941",1,1,,,,
Start Time,"37:00,7","2022-12-02 16:37:13,198",2,,0,0,-0.00008309734,-1.45428141E-09
Stop Time,"47:36,1","2022-12-02 16:37:18,347",3,,0.05,0.05,-0.00008671027,-6.65024311E-10
Rl [Ohm],150,"2022-12-02 16:37:23,503",4,,0.1,0.1,-0.0000903232,-1.33418206E-09
,,"2022-12-02 16:37:28,671",5,,0.15,0.15,-0.00007948442,-2.39969062E-10
,,"2022-12-02 16:37:33,846",6,,0.2,0.2,-0.00009303289,-1.51100137E-09
,,"2022-12-02 16:37:39,020",7,,0.25,0.25,-0.00006593594,4.8223448E-10
,,"2022-12-02 16:37:44,178",8,,0.3,0.3,-0.00007677472,-0.000000001234061
,,"2022-12-02 16:37:49,320",9,,0.35,0.35,-0.00007135532,-1.70251735E-09
,,"2022-12-02 16:37:54,496",10,,0.4,0.4,-0.00006864563,-2.74322528E-09
,,"2022-12-02 16:37:59,685",11,,0.45,0.45,-0.00008851674,-1.93605662E-09
,,"2022-12-02 16:38:04,913",12,,0.5,0.5,-0.0000903232,-1.77485252E-09
,,"2022-12-02 16:38:10,088",13,,0.55,0.55,-0.00007677472,-0.0000000010618344
,,"2022-12-02 16:38:15,251",14,,0.6,0.6,-0.00007316179,-1.70871751E-09
,,"2022-12-02 16:38:20,439",15,,0.65,0.65,-0.00008580703,-1.37207191E-09
,,"2022-12-02 16:38:25,629",16,,0.7,0.7,-0.00007677472,-1.38263514E-09
,,"2022-12-02 16:38:30,818",17,,0.75,0.75,-0.00007406502,-5.08642558E-10
,,"2022-12-02 16:38:35,992",18,,0.8,0.8,-0.00005329069,-1.48275621E-09
,,"2022-12-02 16:38:41,170",19,,0.85,0.85,-0.00005058099,-1.11166529E-09
,,"2022-12-02 16:38:46,358",20,,0.9,0.9,-0.00006051654,-8.935116E-10
,,"2022-12-02 16:38:51,532",21,,0.95,0.95,-0.0000596133,-2.96551241E-09
,,"2022-12-02 16:38:56,672",22,,1,1,-0.00007948442,-1.08410904E-09
,,"2022-12-02 16:39:01,853",23,,1.05,1.05,-0.00006322624,-0.0000000011052355
,,"2022-12-02 16:39:07,056",24,,1.1,1.1,-0.00006593594,3.69207903E-09
,,"2022-12-02 16:39:12,206",25,,1.15,1.15,-0.00005419392,0.0000000108447645
,,"2022-12-02 16:39:17,374",26,,1.2,1.2,-0.00005238745,0.0000000308813775
,,"2022-12-02 16:39:22,542",27,,1.25,1.25,-0.00005780684,0.0000000853086572
,,"2022-12-02 16:39:27,725",28,,1.3,1.3,-0.000062323,0.000000231635132
,,"2022-12-02 16:39:32,899",29,,1.35,1.35,-0.00006593594,0.000000649863778
,,"2022-12-02 16:39:38,087",30,,1.4,1.4,-0.00004335514,0.00000190471253
,,"2022-12-02 16:39:43,272",31,,1.45,1.45,-0.00006412947,0.00000588755256
,,"2022-12-02 16:39:48,475",32,,1.5,1.5,-0.00005871007,0.0000177906323
,,"2022-12-02 16:39:53,636",33,,1.55,1.55,-0.00001264525,0.000047074832
,,"2022-12-02 16:39:58,833",34,,1.6,1.6,0.00004154867,0.000103635367
,,"2022-12-02 16:40:04,022",35,,1.65,1.65,0.0001553559,0.00019076453
,,"2022-12-02 16:40:09,197",36,,1.7,1.7,0.0002447759,0.00030376868
,,"2022-12-02 16:40:14,338",37,,1.75,1.75,0.0003938091,0.000433434862
,,"2022-12-02 16:40:19,493",38,,1.8,1.8,0.000513939,0.000576734603
,,"2022-12-02 16:40:24,667",39,,1.85,1.85,0.0006647787,0.000828039318
,,"2022-12-02 16:40:29,820",40,,1.9,1.9,0.0008165216,0.00109603557
,,"2022-12-02 16:40:35,010",41,,1.95,1.95,0.0009800066,0.00135584515
,,"2022-12-02 16:40:40,251",42,,2,2,0.001250717,0.00167290721
,,"2022-12-02 16:40:45,422",43,,2.05,2.05,0.001559369,0.00200065832
,,"2022-12-02 16:40:50,587",44,,2.1,2.1,0.002114855,0.002308530164
,,"2022-12-02 16:40:55,754",45,,2.15,2.15,0.002519373,0.00260998444
,,"2022-12-02 16:41:00,948",46,,2.2,2.2,0.00288131,0.00292863217
,,"2022-12-02 16:41:06,121",47,,2.25,2.25,0.003150473,0.00320934311
,,"2022-12-02 16:41:11,281",48,,2.3,2.3,0.003432281,0.00349133931
,,"2022-12-02 16:41:16,470",49,,2.35,2.35,0.003727638,0.00377583788
,,"2022-12-02 16:41:21,639",50,,2.4,2.4,0.00400493,0.00406040767
,,"2022-12-02 16:41:26,825",51,,2.45,2.45,0.004317449,0.00434788561
,,"2022-12-02 16:41:31,998",52,,2.5,2.5,0.00460829,0.00463542942
,,"2022-12-02 16:41:37,173",53,,2.55,2.55,0.004860291,0.00492470843
,,"2022-12-02 16:41:42,364",54,,2.6,2.6,0.005171003,0.00521329636
,,"2022-12-02 16:41:47,548",55,,2.65,2.65,0.005451005,0.00550894048
,,"2022-12-02 16:41:52,685",56,,2.7,2.7,0.005759007,0.0057995915
,,"2022-12-02 16:41:57,841",57,,2.75,2.75,0.00605346,0.00609212786
,,"2022-12-02 16:42:02,981",58,,2.8,2.8,0.006365075,0.00638340104
,,"2022-12-02 16:42:08,175",59,,2.85,2.85,0.00664869,0.00667711719
,,"2022-12-02 16:42:13,367",60,,2.9,2.9,0.00694766,0.00697013508
,,"2022-12-02 16:42:18,542",61,,2.95,2.95,0.007242114,0.00726449621
,,"2022-12-02 16:42:23,736",62,,3,3,0.007532954,0.00755783026
,,"2022-12-02 16:42:28,908",63,,3.05,3.05,0.007831924,0.00785264776
,,"2022-12-02 16:42:34,097",64,,3.1,3.1,0.008129991,0.00814803251
,,"2022-12-02 16:42:39,280",65,,3.15,3.15,0.008430767,0.00844318587
,,"2022-12-02 16:42:44,430",66,,3.2,3.2,0.008714381,0.00873938345
,,"2022-12-02 16:42:49,590",67,,3.25,3.25,0.009006126,0.00903453373
,,"2022-12-02 16:42:54,788",68,,3.3,3.3,0.00931774,0.00933133247
,,"2022-12-02 16:42:59,974",69,,3.35,3.35,0.009626645,0.00963253109
,,"2022-12-02 16:43:05,137",70,,3.4,3.4,0.009908455,0.00992966042
,,"2022-12-02 16:43:10,292",71,,3.45,3.45,0.01021194,0.0102269309
,,"2022-12-02 16:43:15,492",72,,3.5,3.5,0.01049917,0.0105245405
,,"2022-12-02 16:43:20,647",73,,3.55,3.55,0.01079453,0.0108218464
,,"2022-12-02 16:43:25,797",74,,3.6,3.6,0.01111427,0.0111196986
,,"2022-12-02 16:43:31,005",75,,3.65,3.65,0.01139517,0.0114168185
,,"2022-12-02 16:43:36,195",76,,3.7,3.7,0.01169505,0.0117153183
,,"2022-12-02 16:43:41,388",77,,3.75,3.75,0.01199673,0.0120129372
,,"2022-12-02 16:43:46,533",78,,3.8,3.8,0.01231557,0.0123118144
,,"2022-12-02 16:43:51,690",79,,3.85,3.85,0.01260009,0.0126104723
,,"2022-12-02 16:43:56,867",80,,3.9,3.9,0.01289635,0.0129079312
,,"2022-12-02 16:44:02,063",81,,3.95,3.95,0.01321609,0.0132072724
,,"2022-12-02 16:44:07,244",82,,4,4,0.01350603,0.0135056511
,,"2022-12-02 16:44:12,410",83,,4.05,4.05,0.01380229,0.0138101709
,,"2022-12-02 16:44:17,576",84,,4.1,4.1,0.01410035,0.0141084156
,,"2022-12-02 16:44:22,751",85,,4.15,4.15,0.0143921,0.0144081183
,,"2022-12-02 16:44:27,949",86,,4.2,4.2,0.01471726,0.0147071568
,,"2022-12-02 16:44:33,103",87,,4.25,4.25,0.01501352,0.0150070992
,,"2022-12-02 16:44:38,284",88,,4.3,4.3,0.01532694,0.015305491
,,"2022-12-02 16:44:43,473",89,,4.35,4.35,0.0156232,0.0156057135
,,"2022-12-02 16:44:48,665",90,,4.4,4.4,0.01592759,0.0159050339
,,"2022-12-02 16:44:53,844",91,,4.45,4.45,0.0162103,0.0162052394
,,"2022-12-02 16:44:59,020",92,,4.5,4.5,0.01650476,0.0165045412
,,"2022-12-02 16:45:04,199",93,,4.55,4.55,0.01681547,0.0168050434
,,"2022-12-02 16:45:09,431",94,,4.6,4.6,0.01711625,0.0171049967
,,"2022-12-02 16:45:14,597",95,,4.65,4.65,0.01739986,0.0174053905
,,"2022-12-02 16:45:19,770",96,,4.7,4.7,0.01771509,0.0177058343
,,"2022-12-02 16:45:24,950",97,,4.75,4.75,0.01801586,0.0180053196
,,"2022-12-02 16:45:30,155",98,,4.8,4.8,0.01832838,0.0183110539
,,"2022-12-02 16:45:35,358",99,,4.85,4.85,0.01863368,0.0186113503
,,"2022-12-02 16:45:40,552",100,,4.9,4.9,0.01891368,0.018912629
,,"2022-12-02 16:45:45,721",101,,4.95,4.95,0.01922981,0.0192122939
,,"2022-12-02 16:45:50,910",102,,5,5,0.01951974,0.0195133489
,,"2022-12-02 16:45:56,057",103,,5.05,5.05,0.0198133,0.0198137419
,,"2022-12-02 16:46:01,222",104,,5.1,5.1,0.02010775,0.0201149624
,,"2022-12-02 16:46:06,410",105,,5.15,5.15,0.02041033,0.0204129736
,,"2022-12-02 16:46:11,568",106,,5.2,5.2,0.02073098,0.020714529
,,"2022-12-02 16:46:16,781",107,,5.25,5.25,0.02102363,0.0210150792
,,"2022-12-02 16:46:21,922",108,,5.3,5.3,0.02134518,0.0213169257
,,"2022-12-02 16:46:27,089",109,,5.35,5.35,0.02165228,0.0216169968
,,"2022-12-02 16:46:32,257",110,,5.4,5.4,0.02192867,0.0219186848
,,"2022-12-02 16:46:37,452",111,,5.45,5.45,0.02222764,0.0222194859
,,"2022-12-02 16:46:42,650",112,,5.5,5.5,0.02254828,0.0225260138
,,"2022-12-02 16:46:47,823",113,,5.55,5.55,0.02284003,0.0228278876
,,"2022-12-02 16:46:53,002",114,,5.6,5.6,0.02314893,0.0231280792
,,"2022-12-02 16:46:58,227",115,,5.65,5.65,0.02346235,0.0234299764
,,"2022-12-02 16:47:03,394",116,,5.7,5.7,0.02375861,0.0237312299
,,"2022-12-02 16:47:08,542",117,,5.75,5.75,0.02407475,0.0240332621
,,"2022-12-02 16:47:13,987",118,,5.8,5.8,0.02437371,0.0243338392
,,"2022-12-02 16:47:19,136",119,,5.85,5.85,0.02468352,0.0246358379
,,"2022-12-02 16:47:24,286",120,,5.9,5.9,0.02497888,0.0249372949
,,"2022-12-02 16:47:29,471",121,,5.95,5.95,0.0252932,0.0252396706
,,"2022-12-02 16:47:34,661",122,,6,6,0.02538443,0.0253538546
,,"2022-12-02 16:47:36,083",123,,6,,,
